File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
65f94233-e5fd-468f-aec6-94f2347d2f34	35a20c09-b72d-49f3-95b7-91ee3002fd8d.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-BRCA	TCGA-W8-A86G	TCGA-W8-A86G-01A	Primary Tumor
dd81dd2f-0be1-4507-b931-9cc2b197b9f8	10db26c3-20bd-4204-bbdc-eb1ad49e91c3.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-BRCA	TCGA-AR-A2LH	TCGA-AR-A2LH-01A	Primary Tumor
347a8e69-dab4-4920-a395-8ee80256d0ff	daf3b479-79cc-4f4e-b136-923ef6156e48.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-BRCA	TCGA-E2-A1B5	TCGA-E2-A1B5-01A	Primary Tumor
406fd7d3-b73a-4014-b315-1eeaae01e988	ed031645-7a24-48a1-a0d5-70ea334abf5f.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-BRCA	TCGA-A8-A07L	TCGA-A8-A07L-01A	Primary Tumor
2a3fd28d-255b-4079-8348-029bd0755803	589dd6e4-a03e-44bf-bc11-451602e4d22e.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-BRCA	TCGA-B6-A0IK	TCGA-B6-A0IK-01A	Primary Tumor
8bfeb4f1-4193-4386-88d3-1dc935f5d7a9	0bb63e02-f74a-4acc-b000-b87bd5abcd71.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-BRCA	TCGA-A8-A06Q	TCGA-A8-A06Q-01A	Primary Tumor
ca7a1993-022c-4734-ab71-33ff5cba2179	d5ba7329-97b2-4ff0-a852-f4399a900934.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-BRCA	TCGA-A2-A3XY	TCGA-A2-A3XY-01A	Primary Tumor
da6ed22f-8583-484c-85d2-cd5f29c4eeeb	a2be2fb2-a488-4ff8-8c6f-a44d6a7cca91.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-BRCA	TCGA-A7-A26J	TCGA-A7-A26J-01A	Primary Tumor
85b21f9d-07de-4576-9652-740a5a550124	cbeb48f8-eb79-4db3-b077-ba394031edee.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-BRCA	TCGA-EW-A1OZ	TCGA-EW-A1OZ-01A	Primary Tumor
0df5c188-00ed-4407-9057-5d97df62e6f2	3ffcb415-e185-47b4-8cab-b06c4206845e.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-BRCA	TCGA-A2-A3XW	TCGA-A2-A3XW-01A	Primary Tumor
68b113cd-faec-4cca-b21b-2683ef1bbb73	bc0cacc9-e3b2-433b-8cd4-251c62e0acb5.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-BRCA	TCGA-C8-A26Y	TCGA-C8-A26Y-01A	Primary Tumor
8b364946-e0c7-4452-be4e-220cea70f4ce	f50cb3c4-4f8d-415e-95a7-de2baab0daef.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-BRCA	TCGA-A2-A259	TCGA-A2-A259-01A	Primary Tumor
964aab26-ff67-4bfc-893a-68c3eb84752a	f01c1156-3363-43e1-9394-b1f88deba0d5.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-BRCA	TCGA-A7-A26H	TCGA-A7-A26H-01A	Primary Tumor
4054a92c-e4c6-4742-99fc-2e9bc0b99ed5	5af377ab-7c3e-4a8d-9583-51b667d82700.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-BRCA	TCGA-BH-A18K	TCGA-BH-A18K-11A	Solid Tissue Normal
d8e18a38-0e22-4c3e-882e-2036af42a78a	a3a9999c-52e6-4c7f-a39e-575d73177f10.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-BRCA	TCGA-AR-A0U2	TCGA-AR-A0U2-01A	Primary Tumor
f16f009f-c863-43a8-94bf-f24ed4fde296	f00dddc4-9a26-4569-aa6f-c6f65341283a.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-BRCA	TCGA-A8-A0A7	TCGA-A8-A0A7-01A	Primary Tumor
